Category,Values,Type,Rate,CI
Total,All,Non-severe,2.398,(2.363 - 2.435)
Sex,F,Non-severe,2.388,(2.337 - 2.440)
Sex,M,Non-severe,2.397,(2.347 - 2.449)
AgeGroup,0-4,Non-severe,10.048,(9.948 - 10.148)
AgeGroup,5-14,Non-severe,4.699,(4.652 - 4.747)
AgeGroup,15-24,Non-severe,1.265,(1.241 - 1.289)
AgeGroup,25-44,Non-severe,1.74,(1.712 - 1.768)
AgeGroup,45-64,Non-severe,1.09,(1.067 - 1.113)
AgeGroup,65+,Non-severe,0.586,(0.554 - 0.620)
Ethnicity,H,Non-severe,2.686,(2.578 - 2.800)
Ethnicity,N,Non-severe,1.594,(1.563 - 1.626)
Race,Asian,Non-severe,1.152,(1.041 - 1.273)
Race,Black,Non-severe,3.032,(2.935 - 3.133)
Race,AIAN,Non-severe,3.563,(3.142 - 4.051)
Race,Multiracial,Non-severe,0.518,(0.424 - 0.648)
Race,Other,Non-severe,2.559,(2.356 - 2.790)
Race,NHPI,Non-severe,2.397,(1.461 - 4.334)
Race,White,Non-severe,1.702,(1.666 - 1.739)
Species,boydii,Non-severe,0.018,(0.015 - 0.021)
Species,dysenteriae,Non-severe,0.006,(0.004 - 0.008)
Species,flexneri,Non-severe,0.301,(0.289 - 0.314)
Species,sonnei,Non-severe,1.696,(1.666 - 1.727)
Species,unknown,Non-severe,0.377,(0.363 - 0.392)
State,CA,Non-severe,4.062,(3.893 - 4.237)
State,CO,Non-severe,1.701,(1.582 - 1.827)
State,CT,Non-severe,1.031,(0.947 - 1.122)
State,GA,Non-severe,3.301,(3.210 - 3.393)
State,MD,Non-severe,1.275,(1.202 - 1.352)
State,MN,Non-severe,1.734,(1.644 - 1.827)
State,NM,Non-severe,2.767,(2.586 - 2.957)
State,NY,Non-severe,0.936,(0.861 - 1.017)
State,OR,Non-severe,0.852,(0.779 - 0.931)
State,TN,Non-severe,4.277,(4.145 - 4.412)
Resistant to,AmpR,Non-severe,0.032,(0.028 - 0.037)
Resistant to,CotR,Non-severe,0.024,(0.020 - 0.028)
Resistant to,CipDSC,Non-severe,0.002,(0.001 - 0.004)
Resistant to,CipR,Non-severe,0.001,(0.001 - 0.003)
Resistant to,AxoR,Non-severe,0,(0.000 - 0.001)
Resistant to,AzmR,Non-severe,0.004,(0.002 - 0.006)
Antibiotic Resistance,1 or more,Non-severe,0.042,(0.038 - 0.048)
Antibiotic Resistance,2 or more,Non-severe,0.015,(0.012 - 0.018)
Antibiotic Resistance,3 or more,Non-severe,0.002,(0.001 - 0.004)
Antibiotic Resistance,4 or more,Non-severe,0,(0.000 - 0.001)
Antibiotic Resistance,MDR,Non-severe,0,(0.000 - 0.001)
Antibiotic Resistance,XDR,Non-severe,0,(0.000 - 0.001)
Total,All,Severe,2.287,(2.252 - 2.322)
Sex,F,Severe,2.003,(1.956 - 2.050)
Sex,M,Severe,2.574,(2.522 - 2.627)
AgeGroup,0-4,Severe,7.101,(7.018 - 7.186)
AgeGroup,5-14,Severe,3.852,(3.809 - 3.895)
AgeGroup,15-24,Severe,1.326,(1.302 - 1.351)
AgeGroup,25-44,Severe,2.112,(2.081 - 2.143)
AgeGroup,45-64,Severe,1.415,(1.389 - 1.441)
AgeGroup,65+,Severe,0.789,(0.752 - 0.828)
